U116455074000152123883555     82649000      V. SOARES SILVA & CIA LTDA-ME??????????
P216455074000152173           RIBANA DE PP LILAS                                KG    ATI0000000000003990
P216455074000152174           RIBANA DE PP LILAS BB 4K                          KG    ATI0000000000003990
P216455074000152175           RIBANA DE PP AZUL MARINHO 4K                      KG    ATI0000000000003990
P216455074000152176           RIBANA DE PP PRETO                                KG    ATI0000000000003990
P216455074000152177           RIBANA DE PP ROSA CHICLETE  4K                    KG    ATI0000000000003990
P216455074000152178           RIBANA DE PP ROSA PINK 4K                         KG    ATI0000000000003990
P216455074000152179           RIBANA DE PP ROXO                                 KG    ATI0000000000003990
P216455074000152180           RIBANA DE PP AZUL TURQUESA 4K                     KG    ATI0000000000003990
P216455074000152181           RIBANA DE PP VERDE BANDEIRA 4K                    KG    ATI0000000000003990
P216455074000152182           RIBANA DE PP VERDE BB 4K                          KG    ATI0000000000003990
P216455074000152183           RIBANA DE PP VERDE LIMAO 4K                       KG    ATI0000000000003990
P216455074000152184           RIBANA DE PP VERMELHO 4K                          KG    ATI0000000000003990
P216455074000152185           RIBANA DE PV LARANJA 4K                           KG    ATI0000000000003990
P216455074000152186           RIBANA DE PV AMARELO BB                           KG    ATI0000000000003990
P216455074000152187           RIBANA DE PV AMARELO OURO 4K                      KG    ATI0000000000003990
P216455074000152188           RIBANA DE PV AZUL CELESTE 4K                      KG    ATI0000000000003990
P216455074000152189           RIBANA DE PV AZUL MARINHO 4K                      KG    ATI0000000000003990
P216455074000152190           RIBANA DE PV AZUL ROYAL 4K                        KG    ATI0000000000003990
P216455074000152191           RIBANA DE PV BRANCO 4K                            KG    ATI0000000000003990
P216455074000152192           RIBANA DE PV BRANCO ANTI                          KG    ATI0000000000003990
P216455074000152193           RIBANA DE PV CINZA CLARO 4K                       KG    ATI0000000000003990
P216455074000152194           RIBANA DE PV CINZA MESCLA                         KG    ATI0000000000003990
P216455074000152195           RIBANA DE PV LILAS                                KG    ATI0000000000003990
P216455074000152196           RIBANA DE PV ROSA PINK 4K                         KG    ATI0000000000003990
P216455074000152197           RIBANA DE PV PRETO                                KG    ATI0000000000003990
P216455074000152198           RIBANA DE PV ROSA BB                              KG    ATI0000000000003990
P216455074000152199           RIBANA DE PV AZUL TURQUESA 4K                     KG    ATI0000000000003990
P216455074000152200           RIBANA DE PV VERDE BANDEIRA 4K                    KG    ATI0000000000003990
P216455074000152201           RIBANA DE PV VERDE BB 4K                          KG    ATI0000000000003990
P216455074000152202           RIBANA DE PV VERDE MUSGO                          KG    ATI0000000000003990
P216455074000152203           RIBANA DE PV VERMELHO 4K                          KG    ATI0000000000003990
P216455074000152204           RIBANA DE PV AMARELO CANARIO 4K                   KG    ATI0000000000003990
P216455074000152205           RIBANA DE PV AZUL BB                              KG    ATI0000000000003990
P216455074000152206           RIBANA DE PV CINZA GRAFITE 4K                     KG    ATI0000000000003990
P216455074000152207           RIBANA DE PV VERDE LIMAO 4K                       KG    ATI0000000000003990
P216455074000152208           PV VERMELHO STAMPLITE                             KG    ATI0000000000002900
P216455074000152209           PP BRANCO STAMPLITE                               KG    ATI0000000000002510
P216455074000152210           PP PRETO STAMPLITE                                KG    ATI0000000000002510
P216455074000152211           PV AZUL ROYAL STAMPLITE                           KG    ATI0000000000002900
P216455074000152212           PV BRANCO STAMPLITE                               KG    ATI0000000000002900
P216455074000152213           PV CINZA GRAFITE STAMPLITE                        KG    ATI0000000000002900
P216455074000152214           PV LILAS STAMPLITE                                KG    ATI0000000000002900
P216455074000152215           PV MESCLA CLARO STAMP LITE                        KG    ATI0000000000002870
P216455074000152216           PV MESCLA ESCURO STAMP LITE                       KG    ATI0000000000002900
P216455074000152217           PV ROSA PINK STAMP LITE                           KG    ATI0000000000002870
P216455074000152218           PV PRETO STAMP LITE                               KG    ATI0000000000002870
P216455074000152219           PV ROXO STAMPLITE                                 KG    ATI0000000000002900
P216455074000152220           PV AZUL TURQUESA STAMPLITE                        KG    ATI0000000000002900
P216455074000152221           PV VINHO STAMP LITE                               KG    ATI0000000000002870
P216455074000152222           RIBANA DE PV AZUL ROYAL STAMP LITE                KG    ATI0000000000003990
P216455074000152223           RIBANA DE PV CINZA GRAFITE STAMPLITE              KG    ATI0000000000003490
P216455074000152224           RIBANA DE PV LILAS STAMPLITE                      KG    ATI0000000000003490
P216455074000152225           RIBANA DE PV MESCLA CLARO STAMP LITE              KG    ATI0000000000003490
P216455074000152227           RIBANA DE PV PRETO STAMP LITE                     KG    ATI0000000000003990
P216455074000152228           RIBANA DE PV  ROXO STAMP LITE                     KG    ATI0000000000003990
P216455074000152229           RIBANA DE PV  AZUL TURQUESA STAMPLITE             KG    ATI0000000000003490
P216455074000152230           RIBANA DE PV  VERMELHO STAMPLITE                  KG    ATI0000000000003490
P216455074000152231           RIBANA DE PV CINZA CLARO STAMPLITE                KG    ATI0000000000003490
P216455074000152232           PIQUET AZUL BB HUMATEX                            KG    ATI0000000000003260
P216455074000152233           PIQUET VERDE BANDEIRA HUMATEX                     KG    ATI0000000000003260
P216455074000152234           PIQUET LARANJA HUMATEX                            KG    ATI0000000000003260
P216455074000152235           PIQUET AZUL MARINHO HUMATEX                       KG    ATI0000000000003260
P216455074000152236           PIQUET ROSA PINK HUMATEX                          KG    ATI0000000000003260
P216455074000152237           PIQUET PRETO HUMATEX                              KG    ATI0000000000003260
P216455074000152238           PIQUET VERMELHO HUMATEX                           KG    ATI0000000000003260
P216455074000152239           PUNHO PIQUET BRANCO HUMATEX                       KG    ATI0000000000005990
P216455074000152240           GOLA PIQUET AMARELO OURO HUMATEX                  KG    ATI0000000000005990
P216455074000152241           GOLA PIQUET AZUL BB HUMATEX                       KG    ATI0000000000005990
P216455074000152242           GOLA PIQUET VERDE BANDEIRA HUMATEX                KG    ATI0000000000005990
P216455074000152243           GOLA PIQUET BRANCO HUMATEX                        KG    ATI0000000000005990
P216455074000152244           GOLA PIQUET CINZA CLARO HUMATEX                   KG    ATI0000000000005990
P216455074000152245           GOLA PIQUET LARANJA HUMATEX                       KG    ATI0000000000005990
P216455074000152246           GOLA PIQUET AZUL MARINHO HUMATEX                  KG    ATI0000000000005990
P216455074000152247           GOLA PIQUET ROSA PINK HUMATEX                     KG    ATI0000000000005990
P216455074000152248           GOLA PIQUET PRETO HUMATEX                         KG    ATI0000000000005990
P216455074000152249           GOLA PIQUET AZUL ROYAL HUMATEX                    KG    ATI0000000000005990
P216455074000152250           GOLA PIQUET AZUL TURQUESA HUMATEX                 KG    ATI0000000000005990
P216455074000152251           GOLA PIQUET VERMELHO HUMATEX                      KG    ATI0000000000005990
P216455074000152252           PIQUET AMARELO OURO HUMATEX                       KG    ATI0000000000003260
P216455074000152253           PIQUET BRANCO ANTIPILLING  HUMATEX                KG    ATI0000000000003260
P216455074000152254           PIQUET AZUL MARINHO ANTIPILLING HUMATEX           KG    ATI0000000000003400
P216455074000152255           PIQUET PRETO ANTIPILLING HUMATEX                  KG    ATI0000000000003260
P216455074000152256           PIQUET AZUL  ROYAL ANTIPILLING HUMATEX            KG    ATI0000000000003400
P216455074000152257           PIQUET VERDE BANDEIRA ANTIPILLING HUMATEX         KG    ATI0000000000003260
P216455074000152258           PIQUET VERMELHO ANTIPILLING HUMATEX               KG    ATI0000000000003260
P216455074000152259           PIQUET BRANCO HUMATEX                             KG    ATI0000000000003260
P216455074000152260           PIQUET CHUMBO GRAFITE HUMATEX                     KG    ATI0000000000003260
P216455074000152261           PIQUET CINZA CLARO HUMATEX                        KG    ATI0000000000003260
P216455074000152262           PIQUET AZUL ROYAL HUMATEX                         KG    ATI0000000000003260
P216455074000152263           PIQUET SALMON HUMATEX                             KG    ATI0000000000003260
P216455074000152264           PIQUET AZUL  TURQUESA HUMATEX                     KG    ATI0000000000003260
P216455074000152265           PUNHO PIQUET AMARELO OURO HUMATEX                 KG    ATI0000000000005990
P216455074000152266           PUNHO PIQUET AZUL BB HUMATEX                      KG    ATI0000000000005990
P216455074000152267           PUNHO PIQUET AZUL MARINHO HUMATEX                 KG    ATI0000000000005990
P216455074000152268           PUNHO PIQUET AZUL TURQUESA HUMATEX                KG    ATI0000000000005990
P216455074000152269           PUNHO PIQUET CINZA CLARO HUMATEX                  KG    ATI0000000000005990
P216455074000152270           PUNHO PIQUET LARANJA HUMATEX                      KG    ATI0000000000005990
