U110385908000114037201956     1255800       TORRES FOMENTO MERCANTIL COMERCIAL E EMPRESARIAL??????????
P210385908000114176           FANTA LS                                          GR????ATF0000000000001300
P210385908000114177           FANTA UVA 2000ML                                  CX????ATF0000000000002550
P210385908000114180           FOSFORO OLHO C/20                                 PC????ATT1800000000002350
P210385908000114181           FRALDA SAPEKA G                                   FR????ATF0000000000010500
P210385908000114183           FRALDA SAPEKA EG                                  FR????ATF0000000000010000
P210385908000114184           FRALDA SAPEKA M                                   FR????ATF0000000000010500
P210385908000114185           FRALDA SAPEKA P                                   FR????ATF0000000000010500
P210385908000114186           FREE BOX                                          PC????ATF0000000000008200
P210385908000114187           FREEGELLS CEREJA C/12                             CX????ATT1800000000000450
P210385908000114188           PILHA PANASONIC GRANDE C/24                       UNI???ATF0000000000002600
P210385908000114189           FREEGELLS CEREJA C/CHOC. C/12                     CX????ATT1800000000000450
P210385908000114192           PILHA RAYOVAC PEQ. C/60                           UNI???ATF0000000000002300
P210385908000114193           FREEGELLS CREM MORANGO C/12                       CX????ATT1800000000000450
P210385908000114485           TRIDENT CANELA C/21                               CX????ATT1800000000001950
P210385908000114196           FREEGELLS EUCALIPITO C/12                         CX????ATT1800000000000450
P210385908000114201           FREEGELLS MORANGO C/CHO. C/12                     CX????ATT1800000000000450
P210385908000114202           FREEGELLS EXTRA FORTE C/12                        CX????ATT1800000000000450
P210385908000114203           FUBA PAJEU 30X500G                                PC????ATI0000000000003400
P210385908000114204           FUMO AVIAO C/25                                   PC????ATF0000000000003500
P210385908000114205           FUMO SUPER BOM C/25                               PC????ATT1800000000003900
P210385908000114207           FUMO TREVO C/11                                   PC????ATT1800000000003100
P210385908000114208           PIPOCA CARUARU C/20                               PC????ATF0000000000000320
P210385908000114209           GELADINHO C/20                                    PC????ATT1800000000000320
P210385908000114210           GELADINHO C/40                                    PC????ATT1800000000000320
P210385908000114212           GOMA AMERICANA C/30                               PC????ATT1800000000000600
P210385908000114213           PIPOCAO CARUARU C/10X45G                          PC????ATF0000000000000550
P210385908000114214           GRANPO DE CERCA BELGO                             UNI???ATT1800000000000650
P210385908000114215           PIPOCAO CARUARU 90G                               PC????ATF0000000000000880
P210385908000114216           GUARANA ANT. 1000ML C/6                           CX????ATF0000000000001150
P210385908000114217           GUARANA ANT. 2000ML                               CX????ATF0000000000002850
P210385908000114218           GUARANA ANT.600ML C/12                            CX????ATF0000000000001550
P210385908000114219           GUARANA ANT. DIET 2000ML                          CX????ATF0000000000002500
P210385908000114220           PIRULITO BIG BIG 3D C/50                          PC????ATT1800000000000380
P210385908000114221           GUARANA ANT.DIET  LATA 350ML C/12                 CX????ATF0000000000001800
P210385908000114222           PIRULITO BIG BIG BAUMILHA ICE C/50                PC????ATT1800000000000380
P210385908000114223           GUARANA ANTARCTICA LATA 350ML C/12                CX????ATF0000000000001850
P210385908000114224           PIRULITO BIG BIG MORANGO C/50                     PC????ATT1800000000000380
P210385908000114227           GUARANA KS                                        GR????ATF0000000000003900
P210385908000114882           SAND COLOR CAFE  39/40                            PC????ATT1800000000003750
P210385908000114228           GUARANA KS DIET                                   GR????ATF0000000000003900
P210385908000114229           PIRULITO BIG BIG SORT C./50                       PC????ATT1800000000000380
P210385908000114232           PIRULITO BIG BIG TUTI FRUT C/50                   PC????ATT1800000000000380
P210385908000114234           PIRULITO BIG BIG UVA C/50                         PC????ATT1800000000000380
P210385908000114235           HALLS CEREJA C/21                                 CX????ATT1800000000001280
P210385908000114236           HALLS LIMÃO CREAMY                                CX????ATT1800000000001280
P210385908000114238           HALLS MORANGO CREAMY                              CX????ATT1800000000001280
P210385908000114239           HALLS EXTRA FORTE C/12                            CX????ATT1800000000001280
P210385908000114241           HALLS MENTOL C/21                                 CX????ATT1800000000001280
P210385908000114242           HALLS MELANCIA C/21                               CX????ATT1800000000001280
P210385908000114244           HALLS MENTA C/21                                  CX????ATT1800000000001280
P210385908000114245           HALLS MORANGO C/21                                CX????ATT1800000000001280
P210385908000114246           HALLS UVA VERDE C/21                              CX????ATT1800000000001280
P210385908000114247           PIRULITO CHERRY POP MACA VERDE C/50               PC????ATT1800000000000500
