P2024338070001430040101122    BERMUDA FEM C/CINTO DE CORRENTE                   UNI   ATT1700000000040200
P2024338070001439939          BERMUDA FEM CICLISTA (BWANA)                      UNI   ATT1700000000018039
P2024338070001430040101003    BERMUDA FEM COLCCI                                UNI   ATT1700000000031700
P2024338070001430040101040    BERMUDA FEM COLCCI                                UNI   ATT1700000000024500
P2024338070001430044600343    BERMUDA FEM COLCCI                                UNI   ATT1700000000039631
P2024338070001430040101078    BERMUDA FEM IDIGO                                 UNI   ATT1700000000037100
P2024338070001430040101067    BERMUDA FEM IDIGO                                 UNI   ATT1700000000026400
P2024338070001430040101076    BERMUDA FEM INDIGO                                UNI   ATT1700000000028200
P2024338070001430040100762    BERMUDA FEM INDIGO  COLCCI                        UNI   ATT1700000000030600
P2024338070001430440101048    BERMUDA FEM INDIGO COLCCI                         UNI   ATT1700000000041300
P2024338070001430040101053    BERMUDA FEM INDIGO COLCCI                         UNI   ATT1700000000015800
P2024338070001430040101105    BERMUDA FEM JEANS ESCURO COLCCI                   UNI   ATT1700000000019200
P2024338070001431280536       BERMUDA FEM JULIA DTA                             UNI   ATT1700000000031290
P2024338070001430370184       BERMUDA FEM JULIA- DTA                            UNI   ATT1700000000031275
P2024338070001439938          BERMUDA FEM MEIA COXA (BWANA)                     UNI   ATT1700000000019509
P2024338070001431180633       BERMUDA FEM OVER DRICA HAVANA DENIM DTA           UNI   ATT1700000000025620
P2024338070001431190154       BERMUDA FEM SAINT TROPEZ SLIM DTA                 UNI   ATT1700000000020790
P2024338070001430044600340    BERMUDA FEM SAR - FORUM                           UNI   ATT1700000000029100
P2024338070001431180520       BERMUDA FEM, BOYFRIEND DTA                        UNI   ATT1700000000026250
P2024338070001431180631       BERMUDA FEM, BRIGITTE SLIM DTA                    UNI   ATT1700000000026040
P2024338070001431180639       BERMUDA FEM, JULIA DTA                            UNI   ATT1700000000025200
P2024338070001430040101175    BERMUDA FEM. - COLCCI                             UNI   ATT1700000000033900
P2024338070001430040101156    BERMUDA FEM. - COLCCI                             UNI   ATT1700000000026400
P2024338070001431140161       BERMUDA FEM. BOYFIT DTA                           UNI   ATT1700000000027090
P2024338070001431140151       BERMUDA FEM. BOYFREIEND DTA                       UNI   ATT1700000000026250
P2024338070001431140154       BERMUDA FEM. BOYFREIEND JEANS MANCHADO DTA        UNI   ATT1700000000024990
P2024338070001431190142       BERMUDA FEM. BOYFRIEND (DTA)                      UNI   ATT1700000000024990
P2024338070001431190152       BERMUDA FEM. BOYFRIEND DTA                        UNI   ATT1700000000026250
P2024338070001438898          bermuda fem. cilclista c/ abertura                UNI   ATT1700000000017980
P2024338070001430040100941    BERMUDA FEM. COLCCI                               UNI   ATT1700000000030000
P2024338070001430040100776    BERMUDA FEM. INDIGO COLCCI                        UNI   ATT1700000000021000
P2024338070001430040100780    BERMUDA FEM. INDIGO COLCCI                        UNI   ATT1700000000020900
P2024338070001431140149       BERMUDA FEM. JULIA - DTA                          UNI   ATT1700000000025620
P2024338070001431270108       BERMUDA FEM. JULIA DTA                            UNI   ATT1700000000026250
P2024338070001431140135       BERMUDA FEM. OVER DRICA DTA                       UNI   ATT1700000000020370
P2024338070001430044600274    BERMUDA FEM. OZ BORD- COLCCI                      UNI   ATT1700000000026400
P2024338070001431140139       BERMUDA FEM. SAINT TROPEZ SLIM ( DTA)             UNI   ATT1700000000027090
P2024338070001438949          bermuda fem. saruel com faixa                     UNI   ATT1700000000015180
P2024338070001430040100893    BERMUDA FEM.- COLCCI                              UNI   ATT1700000000033900
P2024338070001431190150       BERMUDA FEM.OVER DRICA (DTA)                      UNI   ATT1700000000029190
P2024338070001431140155       BERMUDA FEMININA SHIVA-DTA                        UNI   ATT1700000000024150
P20243380700014317030108      BERMUDA FILIGRANA JENS                            UNI   ATT1700000000015999
P2024338070001430040101020    bermuda fm colcci                                 UNI   ATT1700000000027500
P2024338070001430040101019    bermuda idigo colcci                              UNI   ATT1700000000025600
P2024338070001430040101008    BERMUDA IDIGO COLCCI                              UNI   ATT1700000000031200
P2024338070001430040100958    BERMUDA INDIGO- COLCCI                            UNI   ATT1700000000029900
P202433807000143004011105     BERMUDA JEANAS ESCURO FEM COLCCI                  UNI   ATT1700000000019200
P20243380700014321346         BERMUDA JEANS ALFAIATARIA ECLECTIC                UNI   ATT1700000000020034
P20243380700014321969         BERMUDA JEANS CICLISTA ECLECTIC                   UNI   ATT1700000000021294
P20243380700014321533         BERMUDA JEANS DET AVESSO INDIGO ECLECTIC          UNI   ATT1700000000021294
P20243380700014321337         BERMUDA JEANS LIA ECLECTIC                        UNI   ATT1700000000020034
P20243380700014319289         BERMUDA JENS COM ZIPER                            UNI   ATT1700000000020160
P20243380700014319294         BERMUDA JENS PASSADOR COURO                       UNI   ATT1700000000018270
P20243380700014319290         BERMUDA JENS PONTO PICADO                         UNI   ATT1700000000017640
P2024338070001439995          BERMUDA JUSTA MEIA COXA                           UNI   ATT1700000000018669
P202433807000143114           BERMUDA LINHO COM BOTOES (COD.CA114)              UNI   ATT1700000000018377
P2024338070001431260630       BERMUDA MASC CHINO SARJA FRANCIS DTA              UNI   ATT1700000000024150
P2024338070001431260632       BERMUDA MASC CHINO STRIPE DTA                     UNI   ATT1700000000027090
P2024338070001430030100964    BERMUDA MASC COLCCI                               UNI   ATT1700000000025900
P2024338070001430030100963    BERMUDA MASC EST FOLHAGEM COLCCI                  UNI   ATT1700000000026100
P2024338070001430030100732    BERMUDA MASC INDIGO 11.20Z COLCCI                 UNI   ATT1700000000023300
P2024338070001430030100967    BERMUDA MASC JEANS ESC COLCCI                     UNI   ATT1700000000020747
P2024338070001430030100733    BERMUDA MASC SARJA 60z TINT COLCCI                UNI   ATT1700000000017900
P2024338070001430030100713    BERMUDA MASC TRICOLINE COLCCI                     UNI   ATT1700000000020100
P2024338070001430030100904    BERMUDA MASC XADREZ VERDE                         UNI   ATT1700000000020800
P2024338070001430034600316    BERMUDA MASC- FORUM                               UNI   ATT1700000000022608
P2024338070001431270406       BERMUDA MASC. CHINO DTA                           UNI   ATT1700000000022050
P2024338070001430030100773    BERMUDA MASC. COLCCI                              UNI   ATT1700000000018400
P2024338070001430030100995    BERMUDA MASC. COLCCI                              UNI   ATT1700000000023500
P20243380700014310485         BERMUDA MASC. DETALHE FRENTE PATOGE               UNI   ATT1700000000025809
P2024338070001431280719       BERMUDA MASC. RETA DTA                            UNI   ATT1700000000020790
P2024338070001430030100651    BERMUDA MASC. SARJ COLCCI                         UNI   ATT1700000000021400
P2024338070001430030101009    BERMUDA MASC. SARJA - COLCCI                      UNI   ATT1700000000026400
P2024338070001430034600300    BERMUDA MASC. SARJA - COLCCI                      UNI   ATT1700000000021100
P2024338070001430030101010    BERMUDA MASC.- COLCCI                             UNI   ATT1700000000031700
P2024338070001431370449       BERMUDA MASC.DTA                                  UNI   ATT1700000000029025
P2024338070001431280721       BERMUDA MASCOLINA CARGO DTA                       UNI   ATT1700000000035490
P2024338070001430030100661    BERMUDA MASCULINA COLCCI                          UNI   ATT1700000000027400
P2024338070001430034600346    BERMUDA MASCULINA FORUM                           UNI   ATT1700000000021100
P2024338070001430034600325    BERMUDA MASCULINA- FORUM                          UNI   ATT1700000000022077
P2024338070001430030100750    BERMUDA MASCULINA-COLCCI                          UNI   ATT1700000000017400
P2024338070001431280723       BERMUDA MSA PAUL DTA                              UNI   ATT1700000000024150
P202433807000143490           BERMUDA PANINARO                                  UNI   ATT1700000000013990
P2024338070001438520          bermuda peças diverssas                           UNI   ATT1700000000011980
P20243380700014360040005      BERMUDA PREGAS- DTA TECIDO                        UNI   ATT1700000000011900
P20243380700014317030107      BERMUDA RETALHOS COM VIRA NA PERNA JENS           UNI   ATT1700000000015999
P20243380700014321380         BERMUDA SARJA BASIC-CHOCOLATE/ECLECTIC            UNI   ATT1700000000017514
P20243380700014310039         BERMUDA SARJA BOLSINHO LATERAL (CHECKLIST)        UNI   ATT1700000000017900
P2024338070001430040101018    bermuda sarja colcci                              UNI   ATT1700000000019500
P2024338070001430044600346    BERMUDA SARJA ESTAMPA DE SERPENTE                 UNI   ATT1700000000029100
P20243380700014360010011      BERMUDA SARUEL FAIXA (CHECKLIST)                  UNI   ATT1700000000017200
P20243380700014319101932      BERMUDA TACHAS FOLIC                              UNI   ATT1700000000018960
P20243380700014360010022      BERMUDA TRAVETE AMARELO CHECKLIST                 UNI   ATT1700000000018300
P20243380700014319101512      BERMUDA TWEED CHECKLIST                           UNI   ATT1700000000018186
P2024338070001438978          BERNUDA FEM ERCE ( BWANA)                         UNI   ATT1700000000018879
P20243380700014320756         BERNUDA SARJA DETONADA ECLETIC                    UNI   ATT1700000000017430
P2024338070001431140110       BF- BERMUDA FEM  JULIA                            UNI   ATT1700000000024150
P202433807000143482107        BILSA CAPRA RUSTICO OFF WHITE                     UNI   ATT1700000000053567
P20243380700014320076         BIQUINI BOLHAS-ECLECTIC                           UNI   ATT1700000000013470
P20243380700014320194         BIQUINI CORAL 2-ECLECTIC                          UNI   ATT1700000000011430
P2024338070001431270835       BIQUINI DTA                                       UNI   ATT1700000000017000
P20243380700014320777         BIQUINI POLIAMIDA E ELASTANO FLOR DE RIO 2 (ECLECTUNI   ATT1700000000010200
P2024338070001430360108711    BKUSA FEM COLCCI                                  UNI   ATT1700000000011800
P202433807000143005330        BLACK XS 80ML(PACO RABANNE)                       UNI   ATT1700000000032000
P2024338070001430580100203    BLAZER FEM COM TRANSPARENCIA NAS COSTAS COLCCI    UNI   ATT1700000000055600
P2024338070001431190291       BLAZER FEM DTA                                    UNI   ATT1700000000044520
P2024338070001430580100271    BLAZER FEM. COLCCI                                UNI   ATT1700000000034500
P2024338070001430584600097    BLAZER FEM. FORUM PRETO                           UNI   ATT1700000000041500
P2024338070001430580100157    BLAZER- COLCCI                                    UNI   ATT1700000000033800
P2024338070001430580100231    blazzer colcci                                    UNI   ATT1700000000046500
P2024338070001430580100204    BLAZZER FEM COLCCI                                UNI   ATT1700000000052931
P2024338070001430580100255    blazzer fem colcci                                UNI   ATT1700000000033000
P202433807000143482118        blsa capra rustico preto                          UNI   ATT1700000000063227
P2024338070001439994          BLUSA  CACHARREL COM GOLA FRANZIDA                UNI   ATT1700000000007959
P2024338070001439952          BLUSA  COM CAPUZ                                  UNI   ATT1700000000014049
P2024338070001431123630       BLUSA  DANA FM (CHOU CHOU)                        UNI   ATT1700000000009700
P20243380700014319216         BLUSA  DEVORÊ AMPLA SULBIMAÇÃO LITUANIA           UNI   ATT1700000000012810
P2024338070001430360108709    BLUSA  FEM COLCCI                                 UNI   ATT1700000000017900
P2024338070001430364602052    BLUSA  FEM PIQUE- FORUM                           UNI   ATT1700000000015200
P20243380700014320634         BLUSA  FLAME LISTRA FINA E LISTRA GROSSA          UNI   ATT1700000000009870
P20243380700014310            blusa  horrara cod. 10                            UNI   ATT1700000000007980
P2024338070001430370101080    BLUSA  MASCULINA COLCCI                           UNI   ATT1700000000020000
P2024338070001431190624       BLUSA  MAXI STRIPE MESCLA DTA                     UNI   ATT1700000000018690
P20243380700014319370         BLUSA  MEIA MALHABOLSO CANGURU                    UNI   ATT1700000000007140
P20243380700014319101997      BLUSA  SUNSET FOLIC                               UNI   ATT1700000000009960
P2024338070001430360108533    blusa - colcci                                    UNI   ATT1700000000021100
P2024338070001430360108688    BLUSA -COLCCI FEM.                                UNI   ATT1700000000013100
P20243380700014319318         BLUSA 1/2 MALHA GOLA V LESTEX LATERAL             UNI   ATT1700000000005880
P20243380700014321235         BLUSA 1/2MALHA JABOUR ECLECTIC                    UNI   ATT1700000000009954
P20243380700014381010823      BLUSA 8273 TATI                                   UNI   ATT1700000000009240
P20243380700014319101946      BLUSA AGATA FOLIC                                 UNI   ATT1700000000026970
P20243380700014322119         BLUSA ALÇA CETIM COM VIVO ECLECTIC                UNI   ATT1700000000020874
P2024338070001430360108611    BLUSA ALCA- COLCCI                                UNI   ATT1700000000015200
P20243380700014321884         BLUSA ALCINHA LAÇO COSTAS ECLECTIC                UNI   ATT1700000000020874
P2024338070001430272013       BLUSA ALGODÃO SILK LOCAL                          UNI   ATT1700000000025179
P20243380700014361010044      BLUSA AMBURGUES ( CHECKLISTE)                     UNI   ATT1700000000011300
P20243380700014319101670      BLUSA AMPLA ALGODÃO (CHECKLIST)                   UNI   ATT1700000000017079
P20243380700014319101969      BLUSA ANJO FOLIC                                  UNI   ATT1700000000023970
P20243380700014361030153      BLUSA BABADINHOS CHECKLIST                        UNI   ATT1700000000015100
P20243380700014361030088      BLUSA BABADOS COM LISTRAS CHECKLIST               UNI   ATT1700000000009100
